row_index,true_label,predicted_label,true_rank,reciprocal_rank,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,above a small yellow square is a big purple circle,876,0.001141552511415525,0.7017724514007568,0.001988184405490756,0,0,0,0,0.0,0,0,0
7560,above a big green octagon is a small red triangle,the big purple octagon is positioned left of a medium yellow square,204,0.004901960784313725,0.7453424334526062,0.0016977168852463365,0,0,0,0,0.0,0,0,0
624,a small green hexagon can be seen above a medium blue octagon,the big purple octagon is positioned left of a medium yellow square,485,0.002061855670103093,0.7293274402618408,0.0018044833559542894,0,0,0,1,0.14285714285714285,0,0,0
1616,a big yellow octagon is below a big pink diamond,above a small yellow square is a big purple circle,602,0.0016611295681063123,0.7188702821731567,0.0018741986714303493,0,0,0,1,0.14285714285714285,0,0,0
7246,right of a medium green hexagon is a medium black square,above a small yellow square is a big purple circle,843,0.0011862396204033216,0.6879975199699402,0.002080017002299428,0,0,0,0,0.0,0,0,0
8414,the small red octagon is positioned below a small red diamond,above a small yellow square is a big purple circle,401,0.0024937655860349127,0.749081015586853,0.0016727936454117298,0,0,0,1,0.14285714285714285,0,0,0
1980,the big green circle is positioned right of a big orange octagon,above a small yellow square is a big purple circle,553,0.0018083182640144665,0.7152457237243652,0.0018983621848747134,0,0,0,2,0.2857142857142857,0,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,above a small yellow square is a big purple circle,344,0.0029069767441860465,0.7301461100578308,0.0017990275518968701,0,0,0,1,0.14285714285714285,0,0,0
495,a medium green circle can be seen right of a small blue square,above a small yellow square is a big purple circle,166,0.006024096385542169,0.734963595867157,0.0017669096123427153,0,0,0,3,0.42857142857142855,0,1,0
6036,below a big purple square is a small yellow square,above a small yellow square is a big purple circle,204,0.004901960784313725,0.7484545111656189,0.0016769699286669493,0,0,0,1,0.14285714285714285,0,0,0
9756,the medium pink triangle is positioned left of a small black triangle,above a small yellow square is a big purple circle,747,0.0013386880856760374,0.7015753388404846,0.001989497570320964,0,0,0,1,0.14285714285714285,0,0,0
3308,a big red diamond is left of a medium orange square,above a small yellow square is a big purple circle,31,0.03225806451612903,0.755305290222168,0.0016312984516844153,0,0,0,2,0.2857142857142857,0,0,0
5485,a small yellow circle is left of a big yellow diamond,above a small yellow square is a big purple circle,459,0.002178649237472767,0.7190185785293579,0.0018732092576101422,0,0,0,2,0.2857142857142857,0,0,0
2499,a medium pink diamond can be seen above a big yellow circle,above a small yellow square is a big purple circle,188,0.005319148936170213,0.7391742467880249,0.001738838735036552,0,0,0,2,0.2857142857142857,1,0,0
355,the big pink hexagon is positioned below a big orange triangle,above a small yellow square is a big purple circle,184,0.005434782608695652,0.7363584041595459,0.0017576105892658234,0,0,0,1,0.14285714285714285,0,0,0
3868,the medium orange hexagon is positioned above a small black circle,the small red circle is positioned below a big yellow square,242,0.004132231404958678,0.760761022567749,0.001594926929101348,0,0,0,0,0.0,0,0,0
422,the big purple octagon is positioned right of a small green hexagon,above a small yellow square is a big purple circle,209,0.004784688995215311,0.7339120507240295,0.0017739194445312023,0,0,0,3,0.42857142857142855,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,above a small yellow square is a big purple circle,518,0.0019305019305019305,0.7267642617225647,0.0018215716117992997,0,0,0,2,0.2857142857142857,0,0,0
7102,a big orange triangle is left of a medium green hexagon,above a small yellow square is a big purple circle,412,0.0024271844660194173,0.7179858684539795,0.0018800946418195963,0,0,0,1,0.14285714285714285,0,0,0
4121,above a small green triangle is a small yellow octagon,above a small yellow square is a big purple circle,596,0.0016778523489932886,0.7134084701538086,0.0019106105901300907,0,0,0,2,0.2857142857142857,1,0,0
2778,left of a medium blue hexagon is a medium orange triangle,above a small yellow square is a big purple circle,943,0.0010604453870625664,0.6630141735076904,0.0022465724032372236,0,0,0,0,0.0,0,0,0
3489,the medium black triangle is positioned below a big black triangle,above a small yellow square is a big purple circle,835,0.0011976047904191617,0.6912245750427246,0.002058502985164523,0,0,0,0,0.0,0,0,0
6561,a medium yellow circle is right of a medium pink diamond,above a small yellow square is a big purple circle,885,0.0011299435028248588,0.6861271262168884,0.0020924857817590237,0,0,0,1,0.14285714285714285,0,0,0
4377,above a medium orange square is a big yellow diamond,above a small yellow square is a big purple circle,46,0.021739130434782608,0.7574067711830139,0.0016172886826097965,0,0,0,3,0.42857142857142855,1,0,0
62,a big orange square can be seen right of a small yellow square,above a small yellow square is a big purple circle,152,0.006578947368421052,0.7332894802093506,0.0017780703492462635,0,0,0,4,0.5714285714285714,0,0,0
5094,the medium yellow triangle is positioned right of a medium pink triangle,above a small yellow square is a big purple circle,890,0.0011235955056179776,0.6774305105209351,0.0021504631731659174,0,0,0,0,0.0,0,0,0
4119,a small green diamond is right of a medium blue hexagon,above a small yellow square is a big purple circle,701,0.0014265335235378032,0.7117074131965637,0.0019219507230445743,0,0,0,0,0.0,0,0,0
8360,left of a big pink circle is a small orange circle,above a small yellow square is a big purple circle,658,0.001519756838905775,0.7139363288879395,0.0019070915877819061,0,0,0,1,0.14285714285714285,0,0,0
2610,the medium pink diamond is positioned below a medium blue octagon,above a small yellow square is a big purple circle,855,0.0011695906432748538,0.6902604699134827,0.002064930507913232,0,0,0,0,0.0,0,0,0
5847,above a small blue triangle is a small purple octagon,the small red circle is positioned below a big yellow square,664,0.0015060240963855422,0.732644259929657,0.0017823715461418033,0,0,0,1,0.14285714285714285,0,0,0
1693,right of a medium purple triangle is a medium blue diamond,above a small yellow square is a big purple circle,915,0.001092896174863388,0.6781049966812134,0.002145967213436961,0,0,0,0,0.0,0,0,0
1068,the small black hexagon is positioned below a medium yellow square,the big purple octagon is positioned left of a medium yellow square,135,0.007407407407407408,0.7488726377487183,0.001674182596616447,0,0,0,3,0.42857142857142855,0,0,0
6921,a big yellow circle can be seen above a medium blue triangle,the small red circle is positioned below a big yellow square,184,0.005434782608695652,0.7446167469024658,0.0017025554552674294,0,0,0,1,0.14285714285714285,0,0,0
8758,a big blue octagon can be seen above a medium purple diamond,above a small yellow square is a big purple circle,461,0.0021691973969631237,0.7401204109191895,0.0017325305379927158,0,0,0,2,0.2857142857142857,1,0,0
1862,a medium red octagon can be seen above a small black hexagon,the big purple octagon is positioned left of a medium yellow square,347,0.002881844380403458,0.7310309410095215,0.0017931275069713593,0,0,0,1,0.14285714285714285,0,0,0
7464,a small orange diamond is below a big pink diamond,above a small yellow square is a big purple circle,942,0.0010615711252653928,0.6815165877342224,0.002123223152011633,0,0,0,0,0.0,0,0,0
3289,a big orange circle is right of a small pink diamond,above a small yellow square is a big purple circle,360,0.002777777777777778,0.7299574017524719,0.00180028413888067,0,0,0,3,0.42857142857142855,0,0,0
695,a small yellow circle is below a small orange diamond,above a small yellow square is a big purple circle,615,0.0016260162601626016,0.7299694418907166,0.001800204161554575,0,0,0,2,0.2857142857142857,0,0,0
8049,a big black triangle is above a medium pink diamond,above a small yellow square is a big purple circle,632,0.0015822784810126582,0.7199717164039612,0.00186685542576015,0,0,0,2,0.2857142857142857,1,0,0
9820,right of a big pink square is a big pink circle,above a small yellow square is a big purple circle,393,0.002544529262086514,0.7220771908760071,0.001852818881161511,0,0,0,3,0.42857142857142855,0,1,0
