row_index,true_label,predicted_label,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,a big green diamond is below a big blue triangle,0.806969165802002,0.0012373777572065592,0,0,0,2,0.2857142857142857,1,0,0
7560,above a big green octagon is a small red triangle,a big green diamond is below a big blue triangle,0.8718605041503906,0.0008214071276597679,0,0,0,1,0.14285714285714285,0,0,0
624,a small green hexagon can be seen above a medium blue octagon,a big green octagon is above a big blue triangle,0.7528532147407532,0.0015842739958316088,0,0,0,3,0.42857142857142855,1,0,0
1616,a big yellow octagon is below a big pink diamond,a big green diamond is below a big blue triangle,0.8883034586906433,0.0007160042878240347,0,0,0,3,0.42857142857142855,1,0,0
7246,right of a medium green hexagon is a medium black square,a big green diamond is below a big blue triangle,0.7458146810531616,0.001629393664188683,0,0,0,0,0.0,0,0,0
8414,the small red octagon is positioned below a small red diamond,a big green diamond is below a big blue triangle,0.8046717643737793,0.00125210452824831,0,0,0,1,0.14285714285714285,1,0,0
1980,the big green circle is positioned right of a big orange octagon,a big green diamond is below a big blue triangle,0.9119290709495544,0.0005645575001835823,0,0,0,3,0.42857142857142855,0,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,a big green diamond is below a big blue triangle,0.81840980052948,0.0011640399461612105,0,0,0,1,0.14285714285714285,0,0,0
495,a medium green circle can be seen right of a small blue square,a big green diamond is below a big blue triangle,0.8138679265975952,0.001193155301734805,0,0,0,2,0.2857142857142857,0,0,0
6036,below a big purple square is a small yellow square,a big green diamond is below a big blue triangle,0.8240808844566345,0.001127687399275601,0,0,0,2,0.2857142857142857,1,0,0
9756,the medium pink triangle is positioned left of a small black triangle,a big green diamond is below a big blue triangle,0.7708196043968201,0.0014691055985167623,0,0,0,1,0.14285714285714285,0,0,0
3308,a big red diamond is left of a medium orange square,a big green diamond is below a big blue triangle,0.907749593257904,0.0005913494969718158,0,0,0,2,0.2857142857142857,0,0,0
5485,a small yellow circle is left of a big yellow diamond,a big green diamond is below a big blue triangle,0.8540504574775696,0.0009355749352835119,0,0,0,1,0.14285714285714285,0,0,0
2499,a medium pink diamond can be seen above a big yellow circle,a big green diamond is below a big blue triangle,0.8783137202262878,0.0007800402818247676,0,0,0,2,0.2857142857142857,0,0,0
355,the big pink hexagon is positioned below a big orange triangle,a big green diamond is below a big blue triangle,0.9073443412780762,0.0005939469556324184,0,0,0,4,0.5714285714285714,1,0,0
3868,the medium orange hexagon is positioned above a small black circle,a big green diamond is below a big blue triangle,0.8087987303733826,0.0012256494956091046,0,0,0,0,0.0,0,0,0
422,the big purple octagon is positioned right of a small green hexagon,a big green octagon is above a big blue triangle,0.8571627736091614,0.000915622862521559,0,0,0,2,0.2857142857142857,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,a big green diamond is below a big blue triangle,0.7930558919906616,0.001326565514318645,0,0,0,1,0.14285714285714285,0,0,0
7102,a big orange triangle is left of a medium green hexagon,a big green diamond is below a big blue triangle,0.8720706105232239,0.000820060377009213,0,0,0,1,0.14285714285714285,0,0,0
4121,above a small green triangle is a small yellow octagon,a big green diamond is below a big blue triangle,0.7549261450767517,0.001570986583828926,0,0,0,1,0.14285714285714285,0,0,0
2778,left of a medium blue hexagon is a medium orange triangle,a big green diamond is below a big blue triangle,0.7718901634216309,0.0014622430317103863,0,0,0,1,0.14285714285714285,0,0,0
3489,the medium black triangle is positioned below a big black triangle,a big green diamond is below a big blue triangle,0.7953876256942749,0.0013116180198267102,0,0,0,3,0.42857142857142855,1,0,0
