row_index,true_label,predicted_label,true_rank,reciprocal_rank,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,a small purple triangle can be seen right of a big orange circle,764,0.0013089005235602095,0.8399254679679871,0.0004168607702013105,0,0,0,1,0.14285714285714285,0,0,0
7560,above a big green octagon is a small red triangle,a big blue octagon can be seen above a small red triangle,35,0.02857142857142857,0.9134083986282349,0.00022549880668520927,0,0,0,1,0.14285714285714285,1,0,0
624,a small green hexagon can be seen above a medium blue octagon,the small red octagon is positioned right of a big orange triangle,413,0.002421307506053269,0.8762290477752686,0.0003223204694222659,0,0,0,1,0.14285714285714285,0,0,0
1616,a big yellow octagon is below a big pink diamond,a small purple triangle can be seen right of a big orange circle,212,0.0047169811320754715,0.891258180141449,0.00028318201657384634,0,0,0,1,0.14285714285714285,0,0,0
7246,right of a medium green hexagon is a medium black square,a big yellow circle can be seen right of a medium red triangle,927,0.0010787486515641855,0.8042865991592407,0.0005096704117022455,0,0,0,2,0.2857142857142857,1,0,0
8414,the small red octagon is positioned below a small red diamond,a big blue octagon can be seen above a small red triangle,453,0.002207505518763797,0.8783670663833618,0.00031675261561758816,0,0,0,3,0.42857142857142855,0,0,0
1980,the big green circle is positioned right of a big orange octagon,a small purple triangle can be seen right of a big orange circle,39,0.02564102564102564,0.9114192724227905,0.00023067923029884696,0,0,0,3,0.42857142857142855,1,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,a big yellow circle can be seen right of a medium red triangle,75,0.013333333333333334,0.9065160751342773,0.00024344796838704497,0,0,0,3,0.42857142857142855,0,0,0
495,a medium green circle can be seen right of a small blue square,a small purple triangle can be seen right of a big orange circle,28,0.03571428571428571,0.9138368368148804,0.00022438350424636155,0,0,0,1,0.14285714285714285,1,0,0
6036,below a big purple square is a small yellow square,a small purple triangle can be seen right of a big orange circle,259,0.003861003861003861,0.8872164487838745,0.0002937072131317109,0,0,0,2,0.2857142857142857,0,0,0
